Subject,Catalog #,Type,Title,Facility,Days,Start,End,Building,Room
AFRICAM,27AC,DIS,Lives/Strug/Maj Cul,Haviland 321,R,1400,1459,haviland,321
AFRICAM,27AC,DIS,Lives/Strug/Maj Cul,Dwinelle 130,R,1500,1559,dwinelle,130
AFRICAM,30A,LEC,Elementary Chichewa,Barrows 186,MTWR,1300,1359,barrows,186
AFRICAM,30A,LAB,Elementary Chichewa,Barrows 186,F,1300,1359,barrows,186
AFRICAM,31A,LEC,Intermed Chichewa,Barrows 180,MTWR,1500,1559,barrows,180
AFRICAM,31A,LAB,Intermed Chichewa,Barrows 186,F,1500,1559,barrows,186
AFRICAM,98BC,SEM,Directed Group Stud,Barrows 54,T,1700,1759,barrows,54
AFRICAM,98BC,SEM,Directed Group Stud,Barrows 80,T,1800,1859,barrows,80
AFRICAM,100,LEC,Black Intllctl Thgh,Barrows 151,MW,1200,1359,barrows,151
AFRICAM,111,LEC,Race Class Gen U S,Barrows 20,TR,1230,1359,barrows,20
AFRICAM,114,LEC,Ling Strtr Bnt Lang,Barrows 175,TR,1100,1229,barrows,175
AFRICAM,116,LEC,Slavery And African,Barrows 126,TR,1230,1359,barrows,126
AFRICAM,116,DIS,Slavery And African,Barrows 126,W,1200,1259,barrows,126
AFRICAM,123,LEC,Social & Political,Lewis 9,TR,1530,1659,lewis,9
AFRICAM,C134,LEC,Info Tech And Soc,Kroeber 155,M,1400,1659,kroeber,155
AFRICAM,137,SEM,Multicultural Comm,Barrows 174,W,1400,1659,barrows,174
AFRICAM,139,LEC,Sel Top:Africam Soc,Barrows 170,TR,800,929,barrows,170
AFRICAM,139,LEC,Sel Top:Africam Soc,Barrows 104,MWF,1400,1459,barrows,104
AFRICAM,158A,SEM,Poetry 4 Peop:Teach,Genetics & Plant Bio 103,TR,1400,1529,genetics&plantbio,103
AFRICAM,159,LEC,Spec Top Afam Lit,Haas Pavilion 141,TR,930,1059,haaspavilion,141
AFRICAM,159,LEC,Spec Top Afam Lit,Barrows 151,MW,1000,1159,barrows,151
AFRICAM,159,LEC,Spec Top Afam Lit,Dwinelle 250,MWF,800,859,dwinelle,250
AFRICAM,198BC,SEM,Directed Group Stud,Dwinelle 206,T,1700,1759,dwinelle,206
AFRICAM,198BC,SEM,Directed Group Stud,Barrows 54,T,1800,1859,barrows,54
AMERSTD,10,LEC,Intro American Stdy,Hearst Mining 390,MW,1400,1559,hearstmining,390
AMERSTD,10,LEC,Intro American Stdy,Kroeber 155,TR,930,1059,kroeber,155
AMERSTD,10,DIS,Intro American Stdy,Barker 110,M,1200,1259,barker,110
AMERSTD,101,LEC,Us Cultures In Time: Play,Mulford 240,TR,1100,1229,mulford,240
AMERSTD,101,LEC,Us Cultures In Time,Kroeber 115,M,1400,1659,kroeber,115
AMERSTD,101,LEC,Us Cultures In Time,Etcheverry 3106,TR,1530,1659,etcheverry,3106
AMERSTD,102,LEC,Us Cultures/Place,Kroeber 155,TR,1230,1359,kroeber,155
AMERSTD,H110,SEM,Honors Seminar,Haviland 214,W,1500,1759,haviland,214
AMERSTD,C111E,LEC,Topics In Amer Stud,Genetics & Plant Bio 103,MW,1700,1829,genetics&plantbio,103
AMERSTD,C134,LEC,Info Tech And Soc,Kroeber 155,M,1400,1659,kroeber,155
AMERSTD,C152,LEC,Native American Lit,Barrows 155,MWF,1000,1059,barrows,155
AMERSTD,C171,LEC,Amer Dsgn Land 1850,Wurster 101,TR,1400,1529,wurster,101
AMERSTD,191,SEM,Senior Seminar,Haviland 214,R,1400,1559,haviland,214
AMERSTD,H195,SEM,Honors Thesis,Evans 65,W,1400,1559,evans,65
ANTHRO,1,LEC,Intro To Bio Anthro,Haas Faculty Wing F295,TR,1230,1359,haasfacultywing,F295
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,M,1300,1359,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,M,1600,1659,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,900,959,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,1000,1059,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,1100,1159,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,1400,1459,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,1500,1559,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,T,1600,1659,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,R,900,959,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,R,1000,1059,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,R,1100,1159,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,R,1400,1459,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,R,1600,1659,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,F,900,959,barrows,65
ANTHRO,1,DIS,Intro To Bio Anthro,Barrows 65,F,1400,1459,barrows,65
ANTHRO,2AC,LEC,Intro Archaeology,Valley Life Sciences 2050,MWF,900,959,valleylifesciences,2050
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,M,900,1000,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,M,1000,1100,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,M,1200,1300,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,M,1300,1400,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,900,1000,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1000,1100,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1100,1200,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1200,1300,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1300,1400,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1400,1500,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1500,1600,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,T,1600,1700,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,W,900,1000,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,W,1000,1100,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,W,1400,1500,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,W,1500,1600,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,W,1600,1700,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,R,900,1000,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,R,1000,1100,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,R,1100,1200,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,R,1200,1300,barrows,74
ANTHRO,2AC,DIS,Intro Archaeology,Barrows 74,R,1300,1400,barrows,74
ANTHRO,3AC,LEC,Intro Soc/Cult Ac,Dwinelle 155,TR,1100,1229,dwinelle,155
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,900,959,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,1000,1059,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,1100,1159,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,1200,1259,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,1300,1359,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,M,1600,1659,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,900,959,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,1000,1059,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,1300,1359,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,1400,1459,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,1500,1559,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,T,1600,1659,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,900,959,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1000,1059,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1100,1159,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1200,1259,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1300,1359,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1400,1459,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,W,1500,1559,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,900,959,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,1000,1059,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,1300,1359,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,1400,1459,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,1500,1559,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,R,1600,1659,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,F,900,959,barrows,76
ANTHRO,3AC,DIS,Intro Soc/Cult Ac,Barrows 76,F,1000,1059,barrows,76
ANTHRO,R5B,LEC,Reading & Comp,2224 Piedmont 15,TR,1530,1659,2224piedmont,15
ANTHRO,R5B,LEC,Reading & Comp,Latimer 121,MWF,1600,1659,latimer,121
ANTHRO,R5B,LEC,Reading & Comp,2224 Piedmont 15,TR,1700,1829,2224piedmont,15
ANTHRO,R5B,LEC,Reading & Comp,Kroeber 115,MW,1700,1829,kroeber,115
ANTHRO,107,LEC,Evol Hum Brain,North Gate 105,TR,1100,1229,northgate,105
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,M,900,959,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,M,1000,1059,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,M,1100,1159,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,M,1200,1259,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,W,900,959,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,W,1000,1059,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,W,1100,1159,barrows,65
ANTHRO,107,DIS,Evol Hum Brain,Barrows 65,W,1200,1259,barrows,65
ANTHRO,112,LEC,Sp Topics: Bio Anth,Life Sciences Addition 101,MWF,1000,1059,lifesciencesaddition,101
ANTHRO,112,LAB,Sp Topics: Bio Anth,GSPP 150,M,1100,1159,gspp,150
ANTHRO,114,LEC,Hist/Anthro Thought,LeConte 4,TR,930,1059,leconte,4
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,M,900,959,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,M,1000,1059,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,M,1100,1159,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,M,1600,1659,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,R,1100,1159,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,R,1200,1259,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2224 Piedmont 15,F,900,959,2224piedmont,15
ANTHRO,114,DIS,Hist/Anthro Thought,2251 College 101,F,1000,1059,2251college,101
ANTHRO,115,LEC,Intro Med Anthro,Kroeber 155,TR,1100,1229,kroeber,155
ANTHRO,115,DIS,Intro Med Anthro,2224 Piedmont 15,F,1000,1059,2224piedmont,15
ANTHRO,115,DIS,Intro Med Anthro,2224 Piedmont 15,W,1000,1059,2224piedmont,15
ANTHRO,115,DIS,Intro Med Anthro,2224 Piedmont 15,W,1100,1159,2224piedmont,15
ANTHRO,115,DIS,Intro Med Anthro,2224 Piedmont 15,W,1200,1259,2224piedmont,15
ANTHRO,121AC,LEC,Amercn Materl Cultr,Kroeber 160,MWF,1300,1359,kroeber,160
ANTHRO,121AC,DIS,Amercn Materl Cultr,2251 College 101,M,900,959,2251college,101
ANTHRO,121AC,DIS,Amercn Materl Cultr,2251 College 101,W,1000,1059,2251college,101
ANTHRO,121AC,DIS,Amercn Materl Cultr,2251 College 101,W,1100,1159,2251college,101
ANTHRO,121AC,DIS,Amercn Materl Cultr,2251 College 101,F,1200,1259,2251college,101
ANTHRO,121C,LEC,Hist Artifact/Analy,Barrows 61,M,900,1159,barrows,61
ANTHRO,121C,LAB,Hist Artifact/Analy,Barrows 61,W,900,1159,barrows,61
ANTHRO,122A,LEC,Archaeol No Amer,LeConte 3,TR,1230,1359,leconte,3
ANTHRO,C125A,LEC,Arch East Asia,2251 College 101,TR,1530,1659,2251college,101
ANTHRO,127A,LEC,Skltl Bio & Bioarch,Barrows 65,W,1300,1459,barrows,65
ANTHRO,127A,LAB,Skltl Bio & Bioarch,Barrows 65,F,1000,1359,barrows,65
ANTHRO,128,LEC,Spec Topics In Arch,Hearst Field Annex B5,MWF,1300,1359,hearstfieldannex,B5
ANTHRO,134,LEC,Anal Archaeo Record,Barrows 61,T,1229,1529,barrows,61
ANTHRO,134,LAB,Anal Archaeo Record,Barrows 61,R,1229,1529,barrows,61
ANTHRO,135,LEC,Paleoethnobotany,Barrows 61,T,930,1229,barrows,61
ANTHRO,135,LAB,Paleoethnobotany,Barrows 61,R,930,1229,barrows,61
ANTHRO,136A,STD,Museum Exh Design,Barrows 104,TR,1200,1359,barrows,104
ANTHRO,136F,LEC,Cult Heritage Media,Mulford 230,TR,1100,1229,mulford,230
ANTHRO,136G,LEC,Cultural Policy,2251 College 101,TR,1400,1529,2251college,101
ANTHRO,138A,LEC,Ethnog Film History,LeConte 3,TR,1530,1659,leconte,3
ANTHRO,141,LEC,Comparative Society,Barrows 166,TR,1100,1229,barrows,166
ANTHRO,141,DIS,Comparative Society,2224 Piedmont 15,M,1200,1259,2224piedmont,15
ANTHRO,141,DIS,Comparative Society,2224 Piedmont 15,M,1300,1359,2224piedmont,15
ANTHRO,141,DIS,Comparative Society,2224 Piedmont 15,W,900,959,2224piedmont,15
ANTHRO,141,DIS,Comparative Society,2224 Piedmont 15,R,900,959,2224piedmont,15
ANTHRO,150,LEC,Utopia: Art & Power,Barrows 170,TR,1230,1359,barrows,170
ANTHRO,155,LEC,Modernity,2251 College 101,TR,930,1059,2251college,101
ANTHRO,157,LEC,Anthropology Of Law,Kroeber 160,TR,1100,1229,kroeber,160
ANTHRO,160AC,LEC,Forms Of Folklore,Haas Faculty Wing F295,TR,1400,1529,haasfacultywing,F295
ANTHRO,160AC,DIS,Forms Of Folklore,2251 College 101,T,1300,1359,2251college,101
ANTHRO,160AC,DIS,Forms Of Folklore,2251 College 101,W,900,959,2251college,101
ANTHRO,160AC,DIS,Forms Of Folklore,2251 College 101,R,1300,1359,2251college,101
ANTHRO,169C,LEC,Ling Anthr Method,Kroeber 221,TR,1100,1229,kroeber,221
ANTHRO,169C,DIS,Ling Anthr Method,2224 Piedmont 15,T,1400,1459,2224piedmont,15
ANTHRO,169C,DIS,Ling Anthr Method,2224 Piedmont 15,R,1300,1359,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,T,900,959,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,T,1000,1059,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,T,1100,1159,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,W,1300,1359,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,R,1000,1059,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,F,1100,1159,2224piedmont,15
ANTHRO,181,DIS,Middle East & Islam,2224 Piedmont 15,F,1300,1359,2224piedmont,15
ANTHRO,189,LEC,Spec Top:Soc/Cult,Kroeber 155,MWF,1100,1159,kroeber,155
ANTHRO,196,SEM,Undergrad Sem,Kroeber 115,W,1400,1559,kroeber,115
ANTHRO,196,SEM,Undergrad Sem,Kroeber 115,F,1400,1559,kroeber,115
ANTHRO,198,GRP,Directed Group Stdy,Kroeber 305,MTWRF,1100,1159,kroeber,305
ARABIC,1A,REC,Elementary Arabic,Barrows 252,MTWRF,800,859,barrows,252
ARABIC,1A,REC,Elementary Arabic,Barrows 271,MTWRF,900,959,barrows,271
ARABIC,1A,REC,Elementary Arabic,Dwinelle 263,MTWRF,1000,1059,dwinelle,263
ARABIC,1A,REC,Elementary Arabic,Barrows 118,MTWRF,1000,1059,barrows,118
ARABIC,1A,REC,Elementary Arabic,Barrows 252,MTWRF,1100,1159,barrows,252
ARABIC,1A,REC,Elementary Arabic,Barrows 118,MTWRF,1300,1359,barrows,118
ARABIC,1A,REC,Elementary Arabic,Barrows 118,MTWRF,1400,1459,barrows,118
ARABIC,1A,REC,Elementary Arabic,Barrows 118,MTWRF,1500,1559,barrows,118
ARABIC,20A,REC,Intermediate Arabic,Barrows 252,MTWRF,900,959,barrows,252
ARABIC,20A,REC,Intermediate Arabic,Barrows 118,MTWRF,1100,1159,barrows,118
ARABIC,20A,REC,Intermediate Arabic,Barrows 252,MTWRF,1500,1559,barrows,252
ARABIC,100A,LEC,Advanced Arabic,Barrows 271,MWF,1100,1159,barrows,271
ARABIC,100A,LEC,Advanced Arabic,Barrows 252,MWF,1400,1459,barrows,252
ARABIC,108,LEC,Islam & Phil Texts,Barrows 275,MW,1500,1659,barrows,275
ARABIC,111A,LEC,Survey Of Arab Lit,Barrows 78,TR,1400,1529,barrows,78
ARCH,11A,LEC,Intro Vis Rep Draw,Wurster 112,MW,900,959,wurster,112
ARCH,11A,STD,Intro Vis Rep Draw,Wurster 501,MW,1000,1259,wurster,501
ARCH,11A,STD,Intro Vis Rep Draw,Wurster 501,MW,1000,1259,wurster,501
ARCH,11A,STD,Intro Vis Rep Draw,Wurster 501,MW,1000,1259,wurster,501
ARCH,98BC,SEM,Directed Group Stud,Wurster 104,R,1800,1859,wurster,104
ARCH,98BC,SEM,Directed Group Stud,Wurster 172,R,1800,1859,wurster,172
ARCH,100A,LEC,Fund Of Arch Design,Wurster 112,MW,1400,1459,wurster,112
ARCH,100A,STD,Fund Of Arch Design,Wurster 601,MW,1500,1759,wurster,601
ARCH,100A,LAB,Fund Of Arch Design,Wurster 112,F,1100,1359,wurster,112
ARCH,100C,STD,Arch Design Iii,Wurster 801,MW,1400,1759,wurster,801
ARCH,110AC,LEC,Soc/Cult Bas Dsgn,Wurster 112,TR,1400,1529,wurster,112
ARCH,110AC,DIS,Soc/Cult Bas Dsgn,Wurster 172,M,1230,1359,wurster,172
ARCH,110AC,DIS,Soc/Cult Bas Dsgn,Wurster 172,T,1100,1229,wurster,172
ARCH,110AC,DIS,Soc/Cult Bas Dsgn,Wurster 172,T,930,1059,wurster,172
ARCH,110AC,DIS,Soc/Cult Bas Dsgn,Wurster 172,M,1100,1230,wurster,172
ARCH,110AC,DIS,Soc/Cult Bas Dsgn,Wurster 172,M,930,1059,wurster,172
ARCH,130,LEC,Intr Arch Des Th/Cr,Wurster 112,TR,930,1059,wurster,112
ARCH,130,DIS,Intr Arch Des Th/Cr,Wurster 104,T,1100,1229,wurster,104
ARCH,130,DIS,Intr Arch Des Th/Cr,Wurster 170,R,1400,1529,wurster,170
ARCH,144,LEC,Intro To Acoustics,Wurster 172,F,1400,1659,wurster,172
ARCH,150,LEC,Intro To Structures,Wurster 112,TR,800,929,wurster,112
ARCH,150,DIS,Intro To Structures,Wurster 479,R,1000,1259,wurster,479
ARCH,150,DIS,Intro To Structures,Wurster 479,W,900,1159,wurster,479
ARCH,150,DIS,Intro To Structures,Wurster 479,T,1000,1259,wurster,479
ARCH,150,DIS,Intro To Structures,Wurster 479,M,2100,2359,wurster,479
ARCH,170A,DIS,"Hist, Arch&Urbanism",Wurster 370,T,2200,2300,wurster,370
ARCH,170A,DIS,"Hist, Arch&Urbanism",Wurster 370,R,1300,1359,wurster,370
ARCH,170A,DIS,"Hist, Arch&Urbanism",Wurster 370,T,1400,1500,wurster,370
ARCH,170A,DIS,"Hist, Arch&Urbanism",Wurster 370,F,1400,1459,wurster,370
ARCH,179,LEC,"Prosem, Arch Hist",Wurster 270,T,900,1159,wurster,270
ARCH,198BC,SEM,Directed Group Stud,Wurster 104,R,1900,1959,wurster,104
ARCH,198BC,SEM,Directed Group Stud,Wurster 172,R,1900,1959,wurster,172
ARMENI,1A,SES,Intro Armenian,Dwinelle 89,TR,1100,1229,dwinelle,89
ARMENI,101A,LEC,Continuing Armenian,Dwinelle 263,TR,1230,1359,dwinelle,263
ART,8,LEC,Intro Vis Thinking,Stanley 106,M,1200,1259,stanley,106
ART,8,STD,Intro Vis Thinking,Kroeber 395,MWF,900,1159,kroeber,395
ART,8,STD,Intro Vis Thinking,Kroeber 395,MWF,1300,1559,kroeber,395
ART,8,STD,Intro Vis Thinking,Kroeber 365,MWF,900,1159,kroeber,365
ART,12,LEC,Lang Of Draw,Kroeber 355,MWF,900,1159,kroeber,355
ART,12,LEC,Lang Of Draw,Kroeber 365,TRS,900,1159,kroeber,365
ART,13,LEC,Lang Of Painting,Kroeber 385,MWF,1600,1859,kroeber,385
ART,14,LEC,Lang Of Sculpture,Kroeber 165,TRS,900,1159,kroeber,165
ART,14,LEC,Lang Of Sculpture,Wurster 171,TRS,900,1159,wurster,171
ART,15,LEC,Lang Sculp:Ceram,Wurster 171,MWF,900,1159,wurster,171
ART,16,LEC,Intro Printmaking,Kroeber 265,MWF,900,1159,kroeber,265
ART,21,LEC,Digital Photography,Kroeber 275,TRS,1300,1559,kroeber,275
ART,102,LEC,Approaches To Ptng,Kroeber 375,MWF,1300,1559,kroeber,375
ART,102,LEC,Approaches To Ptng,Kroeber 375,TRS,1630,1929,kroeber,375
ART,117,LEC,Drawing Composition,Kroeber 365,TR,1300,1559,kroeber,365
ART,118,LEC,Figure Drawing,Kroeber 355,TRS,900,1159,kroeber,355
ART,119,LEC,Gpca,Kroeber 115,T,1600,1859,kroeber,115
ART,120,LEC,App To Prntmg Intag,Kroeber 265,MW,1300,1559,kroeber,265
ART,132,LEC,App To Sculp Ceram,Wurster 171,MWF,1300,1559,wurster,171
ART,133,LEC,Meaning/Material,Kroeber 165,MWF,1600,1859,kroeber,165
ART,163,LEC,Social Practice,Wurster 178,MWF,1300,1559,wurster,178
ART,164,LEC,Art And Meditation,Kroeber 120,MW,1600,1859,kroeber,120
ART,164,LEC,Art And Meditation,Kroeber 120,MW,1600,1859,kroeber,120
ART,171,LEC,Digital Video,Kroeber 285,TRS,900,1159,kroeber,285
ART,173,LEC,Sound Art,Kroeber 285,TR,1300,1559,kroeber,285
ART,184,SEM,Jr Seminar,Kroeber 120,TRS,1300,1559,kroeber,120
ART,185,LEC,Sn Projects,Kroeber 120,TRS,1600,1859,kroeber,120
ART,196,FLD,Bridging The Arts,Kroeber 120,TR,900,1159,kroeber,120
ASAMST,R2A,LEC,Reading&Composition,Barrows 151,TR,1100,1229,barrows,151
ASAMST,R2A,LEC,Reading&Composition,Valley Life Sciences 2066,MWF,1200,1259,valleylifesciences,2066
ASAMST,R2A,DIS,Reading&Composition,Evans 55,W,1100,1159,evans,55
ASAMST,R2A,DIS,Reading&Composition,Evans 55,W,1200,1259,evans,55
ASAMST,R2B,LEC,Reading&Composition,Barrows 151,TR,1230,1359,barrows,151
ASAMST,R2B,LEC,Reading&Composition,Barrows 151,MWF,1400,1459,barrows,151
ASAMST,R2B,DIS,Reading&Composition,Evans 262,W,1100,1159,evans,262
ASAMST,R2B,DIS,Reading&Composition,Evans 47,W,1400,1459,evans,47
ASAMST,R2B,LEC,Reading&Composition,Dwinelle 89,R,1600,1659,dwinelle,89
ASAMST,20A,LEC,Intro Asian Am Hist,Kroeber 160,MWF,1200,1259,kroeber,160
ASAMST,20A,DIS,Intro Asian Am Hist,Dwinelle 223,M,900,959,dwinelle,223
ASAMST,20A,DIS,Intro Asian Am Hist,Valley Life Sciences 2030,T,1400,1459,valleylifesciences,2030
ASAMST,20A,DIS,Intro Asian Am Hist,Barrows 140,W,1000,1059,barrows,140
ASAMST,20A,DIS,Intro Asian Am Hist,Dwinelle 215,R,1600,1659,dwinelle,215
ASAMST,121,LEC,Chinese Amer Hist,Barrows 56,M,1700,1959,barrows,56
ASAMST,121,DIS,Chinese Amer Hist,Barrows 56,M,2000,2059,barrows,56
